filename,deployment_id,species
20240411_151100.WAV,A001_SD001,American Robin
20240406_061800.WAV,A001_SD001,Wood Duck
20240402_065400.WAV,A001_SD001,Song Sparrow
20240405_191900.WAV,A001_SD001,Wood Duck
20240406_193300.WAV,A001_SD001,Black-capped Chickadee
20240411_065500.WAV,A001_SD001,Wood Duck
20240416_163300.WAV,A001_SD001,Black-capped Chickadee
20240416_063300.WAV,A001_SD001,American Robin
20240416_191800.WAV,A001_SD001,Blue Jay
20240410_063900.WAV,A001_SD001,Wood Duck
20240406_140400.WAV,A001_SD001,Blue Jay
20240406_070500.WAV,A001_SD001,Song Sparrow
20240407_063100.WAV,A001_SD001,Song Sparrow
20240416_061700.WAV,A001_SD001,American Robin
20240410_070000.WAV,A001_SD001,Wood Duck
20240406_191700.WAV,A001_SD001,Black-capped Chickadee
20240405_065300.WAV,A001_SD001,Black-capped Chickadee
20240415_070401.WAV,A001_SD001,American Robin
20240414_140800.WAV,A001_SD001,Black-capped Chickadee
20240408_054900.WAV,A001_SD001,American Robin
20240405_061600.WAV,A001_SD001,Song Sparrow
20240407_070800.WAV,A001_SD001,Blue Jay
20240402_063500.WAV,A001_SD001,Song Sparrow
20240414_055000.WAV,A001_SD001,American Robin
20240414_151500.WAV,A001_SD001,Wood Duck
20240410_155900.WAV,A001_SD001,Wood Duck
20240409_152500.WAV,A001_SD001,Black-capped Chickadee
20240401_070200.WAV,A001_SD001,Black-capped Chickadee
20240415_061901.WAV,A001_SD001,Wood Duck
20240403_065900.WAV,A001_SD001,Song Sparrow
20240414_155000.WAV,A001_SD001,American Robin
20240407_061500.WAV,A001_SD001,Song Sparrow
20240410_065800.WAV,A001_SD001,Wood Duck
20240414_061400.WAV,A001_SD001,Black-capped Chickadee
20240331_191700.WAV,A001_SD001,Wood Duck
20240414_065100.WAV,A001_SD001,Wood Duck
20240412_070300.WAV,A001_SD001,Eastern Phoebe
20240414_161400.WAV,A001_SD001,Black-capped Chickadee
20240406_142000.WAV,A001_SD001,American Goldfinch
20240414_190200.WAV,A001_SD001,American Robin
20240405_143700.WAV,A001_SD001,Black-capped Chickadee
20240409_061900.WAV,A001_SD001,American Robin
20240414_162900.WAV,A001_SD001,Blue Jay
20240404_064700.WAV,A001_SD001,Wood Duck
20240407_062800.WAV,A001_SD001,Song Sparrow
20240415_062401.WAV,A001_SD001,American Robin
20240404_164700.WAV,A001_SD001,Black-capped Chickadee
20240403_062100.WAV,A001_SD001,Song Sparrow
20240404_230100.WAV,A001_SD001,Blue Jay
20240414_143500.WAV,A001_SD001,Black-capped Chickadee
20240401_062200.WAV,A001_SD001,American Robin
20240406_060100.WAV,A001_SD001,American Robin
20240402_060800.WAV,A001_SD001,American Robin
20240406_064400.WAV,A001_SD001,Song Sparrow
20240412_062300.WAV,A001_SD001,American Robin
20240415_062601.WAV,A001_SD001,American Robin
20240404_164500.WAV,A001_SD001,Black-capped Chickadee
20240403_062300.WAV,A001_SD001,Song Sparrow
20240405_143500.WAV,A001_SD001,Black-capped Chickadee
20240414_190000.WAV,A001_SD001,American Robin
20240405_152800.WAV,A001_SD001,Black-capped Chickadee
20240416_062800.WAV,A001_SD001,American Robin
20240409_070600.WAV,A001_SD001,White-breasted Nuthatch
20240408_163200.WAV,A001_SD001,Blue Jay
20240405_062900.WAV,A001_SD001,Song Sparrow
20240412_152000.WAV,A001_SD001,Blue Jay
20240414_143700.WAV,A001_SD001,American Robin
20240401_062000.WAV,A001_SD001,Song Sparrow
20240406_060300.WAV,A001_SD001,American Robin
20240406_064600.WAV,A001_SD001,Song Sparrow
20240405_190200.WAV,A001_SD001,American Robin
20240405_194700.WAV,A001_SD001,Wood Duck
20240406_192800.WAV,A001_SD001,Black-capped Chickadee
20240402_192100.WAV,A001_SD001,Blue Jay
20240405_065100.WAV,A001_SD001,Black-capped Chickadee
20240415_070601.WAV,A001_SD001,American Robin
20240405_061400.WAV,A001_SD001,Wood Duck
20240402_063700.WAV,A001_SD001,Song Sparrow
20240416_055100.WAV,A001_SD001,Blue Jay
20240406_191500.WAV,A001_SD001,Black-capped Chickadee
20240411_063600.WAV,A001_SD001,American Robin
20240412_065900.WAV,A001_SD001,Eastern Phoebe
20240416_061500.WAV,A001_SD001,American Robin
20240416_065000.WAV,A001_SD001,Red-winged Blackbird
20240410_070200.WAV,A001_SD001,Black-capped Chickadee
20240416_070800.WAV,A001_SD001,American Robin
20240401_140100.WAV,A001_SD001,Blue Jay
20240405_140800.WAV,A001_SD001,Black-capped Chickadee
20240412_070100.WAV,A001_SD001,Eastern Phoebe
20240414_055200.WAV,A001_SD001,American Robin
20240407_065200.WAV,A001_SD001,American Robin
20240401_070000.WAV,A001_SD001,Black-capped Chickadee
20240414_155200.WAV,A001_SD001,American Robin
20240407_061700.WAV,A001_SD001,Song Sparrow
20240412_163800.WAV,A001_SD001,Black-capped Chickadee
20240416_063100.WAV,A001_SD001,American Robin
20240412_063800.WAV,A001_SD001,American Robin
20240412_153900.WAV,A001_SD001,Wood Duck
20240410_142700.WAV,A001_SD001,Black-capped Chickadee
20240402_061300.WAV,A001_SD001,American Robin
20240402_065600.WAV,A001_SD001,Black-capped Chickadee
20240404_061900.WAV,A001_SD001,Song Sparrow
20240406_070700.WAV,A001_SD001,Song Sparrow
20240413_055500.WAV,A001_SD001,American Robin
20240407_063300.WAV,A001_SD001,Song Sparrow
20240414_063200.WAV,A001_SD001,American Robin
20240406_144300.WAV,A001_SD001,Wood Duck
20240409_191400.WAV,A001_SD001,Black-capped Chickadee
20240414_192400.WAV,A001_SD001,American Robin
20240405_141100.WAV,A001_SD001,Wood Duck
20240416_071100.WAV,A001_SD001,Red-winged Blackbird
20240405_145400.WAV,A001_SD001,Blue Jay
20240410_064300.WAV,A001_SD001,Eastern Phoebe
20240410_160600.WAV,A001_SD001,Black-capped Chickadee
20240404_152500.WAV,A001_SD001,Wood Duck
